ID,Word,Definition,Class,Register,CEFR Level,IPA,Image,Example,Cambridge Examples,Audio,Definition Audio,Example Audio,Explanation,Morphology,Etymology,Connected Words,Hint
- folks,,,,,,,,,,,,,,,,,
- lofty,,,adjective,,,,,,,,,,,,,,
- ease into (phrasal),,,phrasal verb,,,,,,,,,,,,,,
- file away,,,,,,,,,,,,,,,,,
- unravel,,,,,,,,,,,,,,,,,
- teeter,,,,,,,,,,,,,,,,,
ingrained,,,adjective,,,,,,,,,,,,,,
- message board,,,,,,,,,,,,,,,,,
- smirk,,,,,,,,,,,,,,,,,
- smile,,,,,,,,,,,,,,,,,
- lumpy,,,,,,,,,,,,,,,,,
- panting,,,,,,,,,,,,,,,,,
- whines,,,,,,,,,,,,,,,,,
- muffled,,,,,,,,,,,,,,,,,
- fallout,,,,,,,,,,,,,,,,,
- starry,,,,,,,,,,,,,,,,,
- to fence,,,,,,,,,,,,,,,,,
- send off,,,,,,,,,,,,,,,,,
- up down off as an auxilyare,,,,,,,,,,,,,,,,,
- okay dokey,,,,,,,,,,,,,,,,,
- gaze,,,,,,,,,,,,,,,,,
- hobble,,,,,,,,,,,,,,,,,
- murmur,,,,,,,,,,,,,,,,,
-cottonwood,,,,,,,,,,,,,,,,,
- turn loose (phrasal verbs),,,,,,,,,,,,,,,,,
- kindling-cabin,,,,,,,,,,,,,,,,,
- cockroach,,,,,,,,,,,,,,,,,
- merely,,,,,,,,,,,,,,,,,
- ward off,,,,,,,,,,,,,,,,,
- antennae,,,,,,,,,,,,,,,,,
- packs,,,,,,,,,,,,,,,,,
- know better than,,,,,,,,,,,,,,,,,
- willing,,,,,,,,,,,,,,,,,
- altogether vs completely (VEEEER),,,,,,,,,,,,,,,,,
- extinction,,,,,,,,,,,,,,,,,
- groans,,,,,,,,,,,,,,,,,
- sniffs,,,,,,,,,,,,,,,,,
- squire,,,,,,,,,,,,,,,,,
- remnants,,,,,,,,,,,,,,,,,
- stimpack,,,,,,,,,,,,,,,,,
- straddle,,,,,,,,,,,,,,,,,
- vultures,,,,,,,,,,,,,,,,,
- chuckles,,,,,,,,,,,,,,,,,
- headed to,,,,,,,,,,,,,,,,,
- unhand,,,,,,,,,,,,,,,,,
- table turn,,,,,,,,,,,,,,,,,
- much obliged vs thank you (VEER),,,,,,,,,,,,,,,,,
- lowing (VEEER),,,,,,,,,,,,,,,,,
- assortment,,,,,,,,,,,,,,,,,
- dweler,,,,,,,,,,,,,,,,,
- dipshits,,,,,,,,,,,,,,,,,
- raider,,,,,,,,,,,,,,,,,
- countryside,,,,,,,,,,,,,,,,,
- bounty,,,,,,,,,,,,,,,,,
- crunch,,,,,,,,,,,,,,,,,
- bidding war,,,,,,,,,,,,,,,,,
- bottle caps,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
- deescalate,,,,,,,,,,,,,,,,,
- wiggle,,,,,,,,,,,,,,,,,
- crate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
- hole up,,,,,,,,,,,,,,,,,
- taxing to,,,,,,,,,,,,,,,,,
- hefty,,,,,,,,,,,,,,,,,